Note: Several counties contain special characters that can only be rendered correctly by following the steps below for opening the csv in Excel or Google Sheets.
Excel on Mac and Google Sheets : please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsupport.microsoft.com%2Fen-us%2Foffice%2Fimport-data-from-a-csv-html-or-text-file-b62efe49-4d5b-4429-b788-e1211b5e90f6%3Fui%3Den-us%26rs%3Den-us%26ad%3Dus&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=fbuH9B3RH8A5Ourun52x3TKT9ua%2B5DFN886z9ZgH4nw%3D&reserved=0
Excel on Mircosoft: please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fanswers.microsoft.com%2Fen-us%2Fmsoffice%2Fforum%2Fall%2Fhow-to-open-utf-8-csv-file-in-excel-without-mis%2F1eb15700-d235-441e-8b99-db10fafff3c2&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=sv24XsWqYIGnrQGkEiQCghebOTHFKFF2RU%2BuYFy0LE8%3D&reserved=0

county,state,"Rates of Persons Living with HIV, 2021"
"Ballard","Kentucky",-1
"Barren","Kentucky",97
"Bath","Kentucky",-1
"Bell","Kentucky",89
"Boone","Kentucky",97
"Bourbon","Kentucky",76
"Boyd","Kentucky",189
"Boyle","Kentucky",91
"Bracken","Kentucky",71
"Breathitt","Kentucky",87
"Breckinridge","Kentucky",138
"Bullitt","Kentucky",64
"Butler","Kentucky",97
"Caldwell","Kentucky",170
"Calloway","Kentucky",49
"Campbell","Kentucky",180
"Carlisle","Kentucky",-1
"Carroll","Kentucky",57
"Carter","Kentucky",23
"Casey","Kentucky",38
"Christian","Kentucky",209
"Clark","Kentucky",26
"Clay","Kentucky",81
"Clinton","Kentucky",102
"Crittenden","Kentucky",-1
"Cumberland","Kentucky",121
"Daviess","Kentucky",115
"Edmonson","Kentucky",56
"Elliott","Kentucky",139
"Estill","Kentucky",-1
"Fayette","Kentucky",412
"Fleming","Kentucky",48
"Floyd","Kentucky",50
"Franklin","Kentucky",174
"Fulton","Kentucky",-1
"Gallatin","Kentucky",-1
"Garrard","Kentucky",95
"Grant","Kentucky",49
"Graves","Kentucky",175
"Grayson","Kentucky",45
"Green","Kentucky",125
"Greenup","Kentucky",95
"Hancock","Kentucky",93
"Hardin","Kentucky",199
"Harlan","Kentucky",51
"Harrison","Kentucky",-1
"Hart","Kentucky",62
"Henderson","Kentucky",185
"Henry","Kentucky",106
"Hickman","Kentucky",-1
"Hopkins","Kentucky",82
"Jackson","Kentucky",148
"Jefferson","Kentucky",514
"Jessamine","Kentucky",163
"Johnson","Kentucky",58
"Kenton","Kentucky",262
"Knott","Kentucky",50
"Knox","Kentucky",48
"Larue","Kentucky",-1
"Laurel","Kentucky",111
"Lawrence","Kentucky",37
"Lee","Kentucky",139
"Leslie","Kentucky",-1
"Letcher","Kentucky",50
"Lewis","Kentucky",73
"Lincoln","Kentucky",-1
"Livingston","Kentucky",91
"Logan","Kentucky",109
"Lyon","Kentucky",151
"Madison","Kentucky",85
"Magoffin","Kentucky",-1
"Marion","Kentucky",67
"Marshall","Kentucky",66
"Martin","Kentucky",83
"Mason","Kentucky",134
"McCracken","Kentucky",241
"McCreary","Kentucky",189
"McLean","Kentucky",92
"Meade","Kentucky",75
"Menifee","Kentucky",110
"Mercer","Kentucky",62
"Metcalfe","Kentucky",-1
"Monroe","Kentucky",-1
"Montgomery","Kentucky",127
"Morgan","Kentucky",-1
"Muhlenberg","Kentucky",88
"Nelson","Kentucky",76
"Nicholas","Kentucky",-1
"Ohio","Kentucky",35
"Oldham","Kentucky",145
"Owen","Kentucky",62
"Owsley","Kentucky",-1
"Pendleton","Kentucky",57
"Perry","Kentucky",107
"Pike","Kentucky",51
"Powell","Kentucky",55
"Pulaski","Kentucky",74
"Robertson","Kentucky",-1
"Rockcastle","Kentucky",58
"Rowan","Kentucky",98
"Russell","Kentucky",33
"Scott","Kentucky",95
"Shelby","Kentucky",142
"Simpson","Kentucky",110
"Spencer","Kentucky",-1
"Taylor","Kentucky",46
"Todd","Kentucky",131
"Trigg","Kentucky",83
"Trimble","Kentucky",0
"Union","Kentucky",109
"Warren","Kentucky",155
"Washington","Kentucky",139
"Wayne","Kentucky",96
"Webster","Kentucky",-1
"Whitley","Kentucky",27
"Wolfe","Kentucky",-1
"Woodford","Kentucky",118
"Acadia","Louisiana",531
"Allen","Louisiana",1088
"Ascension","Louisiana",271
"Assumption","Louisiana",722
"Avoyelles","Louisiana",768
"Beauregard","Louisiana",167
"Bienville","Louisiana",810
"Bossier","Louisiana",514
"Caddo","Louisiana",540
"Calcasieu","Louisiana",361
"Caldwell","Louisiana",347
"Cameron","Louisiana",327
"Catahoula","Louisiana",507
"Claiborne","Louisiana",596
"Concordia","Louisiana",261
"De Soto","Louisiana",241
"East Baton Rouge","Louisiana",1088
"East Carroll","Louisiana",525
"East Feliciana","Louisiana",254
"Evangeline","Louisiana",318
"Franklin","Louisiana",376
"Grant","Louisiana",312
"Iberia","Louisiana",434
"Iberville","Louisiana",911
"Jackson","Louisiana",494
"Jefferson","Louisiana",574
"Jefferson Davis","Louisiana",147
"La Salle","Louisiana",362
"Lafayette","Louisiana",417
"Lafourche","Louisiana",196
"Lincoln","Louisiana",147
"Livingston","Louisiana",324
"Madison","Louisiana",406
"Morehouse","Louisiana",442
"Natchitoches","Louisiana",437
"Orleans","Louisiana",1503
"Ouachita","Louisiana",490
"Plaquemines","Louisiana",261
"Pointe Coupee","Louisiana",365
"Rapides","Louisiana",407
"Red River","Louisiana",-1
"Richland","Louisiana",79
"Sabine","Louisiana",151
"St. Bernard","Louisiana",616
"St. Charles","Louisiana",524
"St. Helena","Louisiana",1005
"St. James","Louisiana",552
"St. John the Baptist","Louisiana",217
"St. Landry","Louisiana",411
"St. Martin","Louisiana",119
"St. Mary","Louisiana",183
"St. Tammany","Louisiana",264
"Tangipahoa","Louisiana",249
"Tensas","Louisiana",-1
"Terrebonne","Louisiana",158
"Union","Louisiana",45
"Vermilion","Louisiana",189
"Vernon","Louisiana",140
"Washington","Louisiana",396
"Webster","Louisiana",66
"West Baton Rouge","Louisiana",515
"West Carroll","Louisiana",209
"West Feliciana","Louisiana",761
"Winn","Louisiana",234
"Androscoggin","Maine",156
"Aroostook","Maine",74
"Cumberland","Maine",231
"Franklin","Maine",80
"Hancock","Maine",135
"Kennebec","Maine",133
"Knox","Maine",91
"Lincoln","Maine",82
"Oxford","Maine",74
"Penobscot","Maine",89
"Piscataquis","Maine",60
"Sagadahoc","Maine",99
"Somerset","Maine",90
"Waldo","Maine",112
"Washington","Maine",100
"York","Maine",140
"Allegany","Maryland",286
"Anne Arundel","Maryland",289
"Baltimore","Maryland",490
"Baltimore","Maryland",2088
"Calvert","Maryland",163
"Caroline","Maryland",241
"Carroll","Maryland",109
"Cecil","Maryland",175
"Charles","Maryland",480
"Dorchester","Maryland",534
"Frederick","Maryland",223
"Garrett","Maryland",56
"Harford","Maryland",239
"Howard","Maryland",255
"Kent","Maryland",291
"Montgomery","Maryland",445
"Prince George's","Maryland",1006
"Queen Anne's","Maryland",129
"Somerset","Maryland",496
"St. Mary's","Maryland",160
"Talbot","Maryland",240
"Washington","Maryland",372
"Wicomico","Maryland",305
"Worcester","Maryland",188
"Barnstable","Massachusetts",382
"Berkshire","Massachusetts",172
"Bristol","Massachusetts",279
"Dukes","Massachusetts",270
"Essex","Massachusetts",290
"Franklin","Massachusetts",153
"Hampden","Massachusetts",490
"Hampshire","Massachusetts",132
"Middlesex","Massachusetts",288
"Nantucket","Massachusetts",194
"Norfolk","Massachusetts",234
"Plymouth","Massachusetts",251
"Suffolk","Massachusetts",832
"Worcester","Massachusetts",275
"Alcona","Michigan",54
"Alger","Michigan",139
"Allegan","Michigan",122
"Alpena","Michigan",44
"Antrim","Michigan",90
"Arenac","Michigan",69
"Baraga","Michigan",96
"Barry","Michigan",60
"Bay","Michigan",108
"Benzie","Michigan",63
"Berrien","Michigan",182
"Branch","Michigan",66
"Calhoun","Michigan",180
"Cass","Michigan",54
"Charlevoix","Michigan",48
"Cheboygan","Michigan",78
"Chippewa","Michigan",65
"Clare","Michigan",146
"Clinton","Michigan",104
"Crawford","Michigan",52
"Delta","Michigan",63
"Dickinson","Michigan",-1
"Eaton","Michigan",112
"Emmet","Michigan",43
"Genesee","Michigan",172
"Gladwin","Michigan",59
"Gogebic","Michigan",47
"Grand Traverse","Michigan",104
"Gratiot","Michigan",111
"Hillsdale","Michigan",54
"Houghton","Michigan",50
"Huron","Michigan",33
"Ingham","Michigan",188
"Ionia","Michigan",119
"Iosco","Michigan",54
"Iron","Michigan",108
"Isabella","Michigan",77
"Jackson","Michigan",178
"Kalamazoo","Michigan",186
"Kalkaska","Michigan",123
"Kent","Michigan",200
"Keweenaw","Michigan",-1
"Lake","Michigan",220
"Lapeer","Michigan",85
"Leelanau","Michigan",35
"Lenawee","Michigan",85
"Livingston","Michigan",56
"Luce","Michigan",128
"Mackinac","Michigan",93
"Macomb","Michigan",175
"Manistee","Michigan",89
"Marquette","Michigan",74
"Mason","Michigan",71
"Mecosta","Michigan",83
"Menominee","Michigan",49
"Midland","Michigan",59
"Missaukee","Michigan",-1
"Monroe","Michigan",88
"Montcalm","Michigan",77
"Montmorency","Michigan",132
"Muskegon","Michigan",128
"Newaygo","Michigan",66
"Oakland","Michigan",199
"Oceana","Michigan",44
"Ogemaw","Michigan",55
"Ontonagon","Michigan",-1
"Osceola","Michigan",97
"Oscoda","Michigan",126
"Otsego","Michigan",79
"Ottawa","Michigan",58
"Presque Isle","Michigan",-1
"Roscommon","Michigan",66
"Saginaw","Michigan",147
"Sanilac","Michigan",69
"Schoolcraft","Michigan",-1
"Shiawassee","Michigan",81
"St. Clair","Michigan",78
"St. Joseph","Michigan",69
"Tuscola","Michigan",29
"Van Buren","Michigan",118
"Washtenaw","Michigan",186
"Wayne","Michigan",490
"Wexford","Michigan",74
"Aitkin","Minnesota",42
"Anoka","Minnesota",145
"Becker","Minnesota",41
"Beltrami","Minnesota",90
"Benton","Minnesota",88
"Big Stone","Minnesota",0
"Blue Earth","Minnesota",76
"Brown","Minnesota",46
"Carlton","Minnesota",49
"Carver","Minnesota",62
"Cass","Minnesota",46
"Chippewa","Minnesota",-1
"Chisago","Minnesota",52
"Clay","Minnesota",104
"Clearwater","Minnesota",-1
"Cook","Minnesota",-1
"Cottonwood","Minnesota",85
"Crow Wing","Minnesota",57
"Dakota","Minnesota",147
"Dodge","Minnesota",29
"Douglas","Minnesota",45
"Faribault","Minnesota",93
"Fillmore","Minnesota",28
"Freeborn","Minnesota",50
"Goodhue","Minnesota",67
"Grant","Minnesota",116
"Hennepin","Minnesota",435
"Houston","Minnesota",38
"Hubbard","Minnesota",43
"Isanti","Minnesota",48
"Itasca","Minnesota",44
"Jackson","Minnesota",83
"Kanabec","Minnesota",51
"Kandiyohi","Minnesota",55
"Kittson","Minnesota",-1
"Koochiching","Minnesota",0
"Lac qui Parle","Minnesota",-1
"Lake","Minnesota",63
"Lake of the Woods","Minnesota",-1
"Le Sueur","Minnesota",54
"Lincoln","Minnesota",107
"Lyon","Minnesota",68
"Mahnomen","Minnesota",-1
"Marshall","Minnesota",-1
"Martin","Minnesota",84
"McLeod","Minnesota",84
"Meeker","Minnesota",72
"Mille Lacs","Minnesota",94
"Morrison","Minnesota",46
"Mower","Minnesota",197
"Murray","Minnesota",-1
"Nicollet","Minnesota",69
"Nobles","Minnesota",189
"Norman","Minnesota",-1
"Olmsted","Minnesota",166
"Otter Tail","Minnesota",37
"Pennington","Minnesota",69
"Pine","Minnesota",110
"Pipestone","Minnesota",80
"Polk","Minnesota",95
"Pope","Minnesota",52
"Ramsey","Minnesota",314
"Red Lake","Minnesota",-1
"Redwood","Minnesota",79
"Renville","Minnesota",57
"Rice","Minnesota",107
"Rock","Minnesota",86
"Roseau","Minnesota",-1
"Scott","Minnesota",105
"Sherburne","Minnesota",79
"Sibley","Minnesota",40
"St. Louis","Minnesota",93
"Stearns","Minnesota",101
"Steele","Minnesota",61
"Stevens","Minnesota",-1
"Swift","Minnesota",-1
"Todd","Minnesota",24
"Traverse","Minnesota",-1
"Wabasha","Minnesota",66
"Wadena","Minnesota",78
"Waseca","Minnesota",50
"Washington","Minnesota",101
"Watonwan","Minnesota",66
"Wilkin","Minnesota",-1
"Winona","Minnesota",62
"Wright","Minnesota",66
"Yellow Medicine","Minnesota",-1
"Adams","Mississippi",478
"Alcorn","Mississippi",179
"Amite","Mississippi",276
"Attala","Mississippi",314
"Benton","Mississippi",355
"Bolivar","Mississippi",477
"Calhoun","Mississippi",164
"Carroll","Mississippi",391
"Chickasaw","Mississippi",272
"Choctaw","Mississippi",101
"Claiborne","Mississippi",396
"Clarke","Mississippi",474
"Clay","Mississippi",383
"Coahoma","Mississippi",1004
"Copiah","Mississippi",439
"Covington","Mississippi",352
"DeSoto","Mississippi",273
"Forrest","Mississippi",681
"Franklin","Mississippi",216
"George","Mississippi",160
"Greene","Mississippi",708
"Grenada","Mississippi",462
"Hancock","Mississippi",228
"Harrison","Mississippi",392
"Hinds","Mississippi",1192
"Holmes","Mississippi",488
"Humphreys","Mississippi",351
"Issaquena","Mississippi",-1
"Itawamba","Mississippi",203
"Jackson","Mississippi",237
"Jasper","Mississippi",389
"Jefferson","Mississippi",330
"Jefferson Davis","Mississippi",334
"Jones","Mississippi",320
"Kemper","Mississippi",220
"Lafayette","Mississippi",204
"Lamar","Mississippi",89
"Lauderdale","Mississippi",482
"Lawrence","Mississippi",417
"Leake","Mississippi",340
"Lee","Mississippi",334
"Leflore","Mississippi",458
"Lincoln","Mississippi",187
"Lowndes","Mississippi",339
"Madison","Mississippi",296
"Marion","Mississippi",342
"Marshall","Mississippi",281
"Monroe","Mississippi",181
"Montgomery","Mississippi",305
"Neshoba","Mississippi",226
"Newton","Mississippi",269
"Noxubee","Mississippi",421
"Oktibbeha","Mississippi",161
"Panola","Mississippi",285
"Pearl River","Mississippi",246
"Perry","Mississippi",266
"Pike","Mississippi",466
"Pontotoc","Mississippi",93
"Prentiss","Mississippi",72
"Quitman","Mississippi",400
"Rankin","Mississippi",296
"Scott","Mississippi",347
"Sharkey","Mississippi",-1
"Simpson","Mississippi",328
"Smith","Mississippi",185
"Stone","Mississippi",222
"Sunflower","Mississippi",622
"Tallahatchie","Mississippi",356
"Tate","Mississippi",156
"Tippah","Mississippi",172
"Tishomingo","Mississippi",69
"Tunica","Mississippi",778
